Timestamp,CPU_Total%,GPU_Total%,RAM_Used_GB,RAM_Total_GB,Power_Total_mW,Temp_GPU_C,Temp_CPU_C
23:43:46,0.0,1.4,0.00,0.00,0,0,0
23:43:47,0.0,42.6,0.00,0.00,0,0,0
23:43:48,0.0,80.0,0.00,0.00,0,0,0
23:43:49,0.0,53.6,0.00,0.00,0,0,0
23:43:50,0.0,79.8,0.00,0.00,0,0,0
23:43:51,0.0,40.3,0.00,0.00,0,0,0
23:43:52,0.0,5.9,0.00,0.00,0,0,0
23:43:53,0.0,39.7,0.00,0.00,0,0,0
23:43:54,0.0,6.3,0.00,0.00,0,0,0
23:43:55,0.0,50.4,0.00,0.00,0,0,0
23:43:56,0.0,78.7,0.00,0.00,0,0,0
23:43:57,0.0,44.3,0.00,0.00,0,0,0
23:43:58,0.0,68.0,0.00,0.00,0,0,0
23:43:59,0.0,44.3,0.00,0.00,0,0,0
23:44:00,0.0,3.1,0.00,0.00,0,0,0
23:44:01,0.0,47.3,0.00,0.00,0,0,0
23:44:02,0.0,74.9,0.00,0.00,0,0,0
23:44:03,0.0,47.5,0.00,0.00,0,0,0
23:44:04,0.0,73.6,0.00,0.00,0,0,0
23:44:05,0.0,46.7,0.00,0.00,0,0,0
23:44:06,0.0,1.9,0.00,0.00,0,0,0
23:44:07,0.0,44.9,0.00,0.00,0,0,0
23:44:08,0.0,1.8,0.00,0.00,0,0,0
23:44:09,0.0,45.0,0.00,0.00,0,0,0
23:44:10,0.0,78.7,0.00,0.00,0,0,0
23:44:11,0.0,49.3,0.00,0.00,0,0,0
23:44:12,0.0,77.9,0.00,0.00,0,0,0
23:44:13,0.0,35.6,0.00,0.00,0,0,0
23:44:14,0.0,0.0,0.00,0.00,0,0,0
23:44:15,0.0,37.6,0.00,0.00,0,0,0
23:44:16,0.0,79.7,0.00,0.00,0,0,0
23:44:17,0.0,50.8,0.00,0.00,0,0,0
23:44:18,0.0,76.0,0.00,0.00,0,0,0
23:44:19,0.0,46.3,0.00,0.00,0,0,0
23:44:20,0.0,4.9,0.00,0.00,0,0,0
23:44:21,0.0,27.5,0.00,0.00,0,0,0
23:44:22,0.0,62.9,0.00,0.00,0,0,0
23:44:23,0.0,36.6,0.00,0.00,0,0,0
23:44:24,0.0,62.7,0.00,0.00,0,0,0
23:44:25,0.0,58.3,0.00,0.00,0,0,0
23:44:26,0.0,15.7,0.00,0.00,0,0,0
23:44:27,0.0,15.7,0.00,0.00,0,0,0
23:44:28,0.0,15.5,0.00,0.00,0,0,0
23:44:29,0.0,28.0,0.00,0.00,0,0,0
23:44:30,0.0,51.5,0.00,0.00,0,0,0
23:44:31,0.0,66.5,0.00,0.00,0,0,0
23:44:32,0.0,25.9,0.00,0.00,0,0,0
23:44:33,0.0,69.9,0.00,0.00,0,0,0
23:44:34,0.0,31.9,0.00,0.00,0,0,0
23:44:35,0.0,15.5,0.00,0.00,0,0,0
23:44:36,0.0,42.0,0.00,0.00,0,0,0
23:44:37,0.0,80.0,0.00,0.00,0,0,0
23:44:38,0.0,52.6,0.00,0.00,0,0,0
23:44:39,0.0,79.8,0.00,0.00,0,0,0
23:44:40,0.0,43.4,0.00,0.00,0,0,0
23:44:41,0.0,7.9,0.00,0.00,0,0,0
23:44:42,0.0,35.1,0.00,0.00,0,0,0
23:44:43,0.0,5.1,0.00,0.00,0,0,0
23:44:44,0.0,45.5,0.00,0.00,0,0,0
23:44:45,0.0,80.3,0.00,0.00,0,0,0
23:44:46,0.0,58.5,0.00,0.00,0,0,0
23:44:47,0.0,16.4,0.00,0.00,0,0,0
23:44:48,0.0,31.4,0.00,0.00,0,0,0
23:44:49,0.0,22.5,0.00,0.00,0,0,0
23:44:50,0.0,25.2,0.00,0.00,0,0,0
23:44:51,0.0,62.4,0.00,0.00,0,0,0
23:44:52,0.0,72.5,0.00,0.00,0,0,0
23:44:53,0.0,31.2,0.00,0.00,0,0,0
23:44:54,0.0,58.3,0.00,0.00,0,0,0
23:44:55,0.0,31.1,0.00,0.00,0,0,0
23:44:56,0.0,14.7,0.00,0.00,0,0,0
23:44:57,0.0,57.3,0.00,0.00,0,0,0
23:44:58,0.0,78.2,0.00,0.00,0,0,0
23:44:59,0.0,57.8,0.00,0.00,0,0,0
23:45:00,0.0,59.8,0.00,0.00,0,0,0
23:45:01,0.0,34.4,0.00,0.00,0,0,0
23:45:02,0.0,11.1,0.00,0.00,0,0,0
23:45:03,0.0,12.1,0.00,0.00,0,0,0
23:45:04,0.0,11.1,0.00,0.00,0,0,0
23:45:05,0.0,53.4,0.00,0.00,0,0,0
23:45:06,0.0,62.8,0.00,0.00,0,0,0
23:45:07,0.0,40.2,0.00,0.00,0,0,0
23:45:08,0.0,62.9,0.00,0.00,0,0,0
23:45:09,0.0,15.9,0.00,0.00,0,0,0
23:45:10,0.0,8.3,0.00,0.00,0,0,0
23:45:11,0.0,53.6,0.00,0.00,0,0,0
23:45:12,0.0,31.7,0.00,0.00,0,0,0
23:45:13,0.0,75.2,0.00,0.00,0,0,0
23:45:14,0.0,62.0,0.00,0.00,0,0,0
23:45:15,0.0,15.9,0.00,0.00,0,0,0
23:45:16,0.0,27.9,0.00,0.00,0,0,0
23:45:17,0.0,16.6,0.00,0.00,0,0,0
23:45:18,0.0,28.3,0.00,0.00,0,0,0
23:45:19,0.0,70.4,0.00,0.00,0,0,0
23:45:20,0.0,66.3,0.00,0.00,0,0,0
